city,mean_pm25,PAQS,PAQS Cateogry,Description,,,,,,,,
Athens,17.69,66,Moderate Air Quality,Moderate air quality; tolerable but sensitive groups may be affected; track and improve conditions.,,,,,,,,
Berlin,11.28,83,Good Air Quality,Good air quality with low health risks; maintain sustainable practices.,,,,,,,,
Cairo,45.6,16,Very Poor Air Quality,Extremely poor air quality with serious health risks; immediate action needed.,,,,,,,,
Delhi,98.22,1,Very Poor Air Quality,Extremely poor air quality with serious health risks; immediate action needed.,,,,,,,,
Istanbul,22.81,53,Moderate Air Quality,Moderate air quality; tolerable but sensitive groups may be affected; track and improve conditions.,,,,,,,,
Lagos,39.58,18,Very Poor Air Quality,Extremely poor air quality with serious health risks; immediate action needed.,,,,,,,,
Manila,32.27,27,Poor Air Quality,"Poor air quality, posing significant health risks; strong mitigation recommended.",,,,,,,,
New York,7.56,93,Good Air Quality,Good air quality with low health risks; maintain sustainable practices.,,,,,,,,
Paris,13.57,77,Good Air Quality,Good air quality with low health risks; maintain sustainable practices.,,,,,,,,
Sao Paolo,17.48,67,Moderate Air Quality,Moderate air quality; tolerable but sensitive groups may be affected; track and improve conditions.,,,,,,,,
,,,,,,,,,,,,
City,ave_d2m_annual,es,ea,ave_t2m_annual_c,rh2m(%),ave_t2m_annual_f,heat index,heat_index_c,CHSS,Description,,
Athens,10.65,21.98750254,12.8161305,19.02,58.29,66.24,66.24,19.02,100,"Ideal heat conditions; minimal health risk, highly resilient urban environment.",,
Berlin,7.24,13.96006361,10.18042767,11.94,72.93,53.49,53.49,11.94,100,"Ideal heat conditions; minimal health risk, highly resilient urban environment.",,
Cairo,10.74,27.98332938,12.89316814,22.94,46.07,73.29,73.29,22.94,100,"Ideal heat conditions; minimal health risk, highly resilient urban environment.",,
Delhi,15.08,31.00011474,17.12847189,24.64,55.25,76.35,76.35,24.64,100,"Ideal heat conditions; minimal health risk, highly resilient urban environment.",,
Istanbul,11.1,18.07664396,13.20541782,15.92,73.05,60.66,60.66,15.92,100,"Ideal heat conditions; minimal health risk, highly resilient urban environment.",,
Lagos,23.86,36.52732839,29.5823323,27.41,80.99,81.34,87.42831486,30.79,96,Heat conditions generally safe; minor precautions for vulnerable populations.,,
